ts_mono,ts_wall,image_name
6335.005836,1777547894.040269,frame_6335.005836.jpg
6335.118350,1777547894.152788,frame_6335.118350.jpg
6335.230034,1777547894.264471,frame_6335.230034.jpg
6335.342133,1777547894.376561,frame_6335.342133.jpg
6335.454215,1777547894.488653,frame_6335.454215.jpg
6335.565943,1777547894.600380,frame_6335.565943.jpg
6335.678331,1777547894.712770,frame_6335.678331.jpg
6335.790449,1777547894.824892,frame_6335.790449.jpg
6335.901951,1777547894.936378,frame_6335.901951.jpg
6336.014103,1777547895.048538,frame_6336.014103.jpg
6336.126410,1777547895.160849,frame_6336.126410.jpg
6336.237912,1777547895.272337,frame_6336.237912.jpg
6336.350267,1777547895.384707,frame_6336.350267.jpg
6336.462043,1777547895.496477,frame_6336.462043.jpg
6336.574216,1777547895.608646,frame_6336.574216.jpg
6336.686438,1777547895.720892,frame_6336.686438.jpg
6336.798025,1777547895.832453,frame_6336.798025.jpg
6336.910618,1777547895.945060,frame_6336.910618.jpg
6337.022439,1777547896.056893,frame_6337.022439.jpg
6337.133969,1777547896.168397,frame_6337.133969.jpg
6337.246711,1777547896.281159,frame_6337.246711.jpg
6337.358153,1777547896.392587,frame_6337.358153.jpg
6337.470096,1777547896.504525,frame_6337.470096.jpg
6337.582612,1777547896.617058,frame_6337.582612.jpg
6337.694219,1777547896.728659,frame_6337.694219.jpg
6337.806143,1777547896.840571,frame_6337.806143.jpg
6337.918599,1777547896.953040,frame_6337.918599.jpg
6338.029906,1777547897.064345,frame_6338.029906.jpg
6338.142601,1777547897.177045,frame_6338.142601.jpg
6338.254498,1777547897.288949,frame_6338.254498.jpg
6338.366084,1777547897.400517,frame_6338.366084.jpg
6338.478037,1777547897.512470,frame_6338.478037.jpg
6338.590658,1777547897.625103,frame_6338.590658.jpg
6338.702030,1777547897.736454,frame_6338.702030.jpg
6338.814699,1777547897.849152,frame_6338.814699.jpg
6338.925985,1777547897.960431,frame_6338.925985.jpg
6339.038267,1777547898.072694,frame_6339.038267.jpg
6339.150613,1777547898.185059,frame_6339.150613.jpg
6339.262283,1777547898.296726,frame_6339.262283.jpg
6339.374346,1777547898.408775,frame_6339.374346.jpg
6339.486537,1777547898.520981,frame_6339.486537.jpg
6339.598237,1777547898.632677,frame_6339.598237.jpg
6339.710186,1777547898.744613,frame_6339.710186.jpg
6339.823086,1777547898.857539,frame_6339.823086.jpg
6339.934074,1777547898.968506,frame_6339.934074.jpg
6340.046526,1777547899.080964,frame_6340.046526.jpg
6340.158564,1777547899.193004,frame_6340.158564.jpg
6340.269954,1777547899.304387,frame_6340.269954.jpg
6340.382468,1777547899.416906,frame_6340.382468.jpg
6340.494506,1777547899.528950,frame_6340.494506.jpg
6340.606037,1777547899.640474,frame_6340.606037.jpg
6340.718525,1777547899.752960,frame_6340.718525.jpg
6340.830507,1777547899.864947,frame_6340.830507.jpg
6340.942158,1777547899.976595,frame_6340.942158.jpg
6341.054249,1777547900.088679,frame_6341.054249.jpg
6341.166585,1777547900.201027,frame_6341.166585.jpg
6341.278022,1777547900.312456,frame_6341.278022.jpg
6341.390736,1777547900.425185,frame_6341.390736.jpg
6341.502542,1777547900.536986,frame_6341.502542.jpg
6341.613843,1777547900.648267,frame_6341.613843.jpg
6341.726614,1777547900.761058,frame_6341.726614.jpg
6341.838421,1777547900.872861,frame_6341.838421.jpg
6341.950093,1777547900.984519,frame_6341.950093.jpg
6342.062467,1777547901.096909,frame_6342.062467.jpg
6342.174454,1777547901.208896,frame_6342.174454.jpg
6342.286051,1777547901.320477,frame_6342.286051.jpg
6342.398630,1777547901.433075,frame_6342.398630.jpg
6342.510691,1777547901.545144,frame_6342.510691.jpg
6342.622085,1777547901.656511,frame_6342.622085.jpg
6342.734661,1777547901.769103,frame_6342.734661.jpg
6342.846354,1777547901.880787,frame_6342.846354.jpg
6342.958105,1777547901.992531,frame_6342.958105.jpg
6343.070409,1777547902.104850,frame_6343.070409.jpg
6343.182505,1777547902.216947,frame_6343.182505.jpg
6343.294036,1777547902.328460,frame_6343.294036.jpg
6343.406428,1777547902.440873,frame_6343.406428.jpg
6343.518226,1777547902.552658,frame_6343.518226.jpg
6343.629969,1777547902.664397,frame_6343.629969.jpg
6343.742325,1777547902.776764,frame_6343.742325.jpg
6343.854040,1777547902.888474,frame_6343.854040.jpg
6343.966624,1777547903.001062,frame_6343.966624.jpg
6344.078576,1777547903.113017,frame_6344.078576.jpg
6344.190037,1777547903.224468,frame_6344.190037.jpg
6344.302749,1777547903.337195,frame_6344.302749.jpg
6344.414545,1777547903.448986,frame_6344.414545.jpg
6344.526125,1777547903.560561,frame_6344.526125.jpg
6344.639345,1777547903.673778,frame_6344.639345.jpg
6344.754475,1777547903.788917,frame_6344.754475.jpg
6344.866328,1777547903.900775,frame_6344.866328.jpg
6344.978422,1777547904.012852,frame_6344.978422.jpg
6345.090384,1777547904.124825,frame_6345.090384.jpg
6345.202081,1777547904.236512,frame_6345.202081.jpg
6345.314579,1777547904.349022,frame_6345.314579.jpg
6345.426477,1777547904.460921,frame_6345.426477.jpg
6345.537994,1777547904.572443,frame_6345.537994.jpg
6345.650581,1777547904.685025,frame_6345.650581.jpg
6345.762405,1777547904.796848,frame_6345.762405.jpg
6345.873944,1777547904.908369,frame_6345.873944.jpg
6345.986404,1777547905.020846,frame_6345.986404.jpg
6346.098021,1777547905.132454,frame_6346.098021.jpg
6346.210328,1777547905.244763,frame_6346.210328.jpg
6346.322397,1777547905.356840,frame_6346.322397.jpg
6346.434028,1777547905.468453,frame_6346.434028.jpg
6346.546459,1777547905.580901,frame_6346.546459.jpg
6346.658460,1777547905.692903,frame_6346.658460.jpg
6346.769946,1777547905.804371,frame_6346.769946.jpg
6346.882519,1777547905.916958,frame_6346.882519.jpg
6346.994397,1777547906.028845,frame_6346.994397.jpg
6347.106183,1777547906.140611,frame_6347.106183.jpg
6347.218530,1777547906.252980,frame_6347.218530.jpg
6347.330068,1777547906.364509,frame_6347.330068.jpg
6347.442542,1777547906.476982,frame_6347.442542.jpg
6347.554633,1777547906.589088,frame_6347.554633.jpg
6347.665912,1777547906.700333,frame_6347.665912.jpg
6347.778539,1777547906.812981,frame_6347.778539.jpg
6347.890541,1777547906.924980,frame_6347.890541.jpg
6348.001981,1777547907.036410,frame_6348.001981.jpg
6348.114481,1777547907.148920,frame_6348.114481.jpg
6348.226439,1777547907.260881,frame_6348.226439.jpg
6348.338072,1777547907.372506,frame_6348.338072.jpg
6348.450306,1777547907.484744,frame_6348.450306.jpg
6348.562341,1777547907.596784,frame_6348.562341.jpg
6348.673912,1777547907.708344,frame_6348.673912.jpg
6348.786807,1777547907.821258,frame_6348.786807.jpg
6348.898484,1777547907.932924,frame_6348.898484.jpg
6349.009978,1777547908.044402,frame_6349.009978.jpg
6349.122553,1777547908.156993,frame_6349.122553.jpg
6349.234569,1777547908.269011,frame_6349.234569.jpg
6349.346069,1777547908.380501,frame_6349.346069.jpg
6349.458461,1777547908.492900,frame_6349.458461.jpg
6349.570485,1777547908.604941,frame_6349.570485.jpg
6349.682067,1777547908.716502,frame_6349.682067.jpg
6349.794383,1777547908.828830,frame_6349.794383.jpg
6349.906380,1777547908.940822,frame_6349.906380.jpg
6350.018034,1777547909.052472,frame_6350.018034.jpg
