ts_mono,force_n
6404.266259,-0.001000
6404.337177,-0.001000
6404.412981,-0.001000
6404.479123,-0.001000
6404.545606,-0.001000
6404.613031,-0.001000
6404.685995,-0.001000
6404.755780,-0.001000
6404.827527,-0.001000
6404.896988,-0.001000
6404.964933,-0.001000
6405.032170,-0.001000
6405.100328,-0.001000
6405.167997,-0.001000
6405.238866,-0.001000
6405.308195,-0.008000
6405.375623,0.023000
6405.442879,-0.005000
6405.509949,-0.007000
6405.585868,0.005000
6405.653476,-0.005000
6405.721091,-0.001000
6405.788457,-0.005000
6405.856997,-0.003000
6405.924652,0.004000
6405.993372,-0.017000
6406.060564,0.001000
6406.127711,-0.008000
6406.196429,0.005000
6406.265296,-0.001000
6406.331468,-0.008000
6406.403130,0.000000
6406.472443,0.001000
6406.542054,-0.010000
6406.612475,-0.025000
6406.684953,0.018000
6406.756828,-0.015000
6406.823893,0.007000
6406.890472,-0.009000
6406.958040,0.005000
6407.024938,-0.007000
6407.096856,0.004000
6407.162160,0.001000
6407.229950,-0.001000
6407.300979,0.002000
6407.373368,-0.003000
6407.441537,-0.004000
6407.508317,0.001000
6407.575353,-0.002000
6407.645278,-0.003000
6407.716854,-0.001000
6407.785667,0.000000
6407.851860,-0.006000
6407.918823,0.013000
6407.986988,-0.003000
6408.055259,-0.001000
6408.121785,0.009000
6408.188336,-0.005000
6408.256078,0.003000
6408.329746,-0.002000
6408.403847,-0.006000
6408.471825,0.000000
6408.538363,-0.006000
6408.609669,0.000000
6408.680327,-0.008000
6408.747708,0.006000
6408.818593,-0.003000
6408.886736,0.018000
6408.953711,0.034000
6409.020123,0.059000
6409.086169,0.062000
6409.152445,0.060000
6409.225862,0.072000
6409.297193,0.065000
6409.365329,0.115000
6409.433598,0.105000
6409.500676,0.092000
6409.574286,0.092000
6409.640868,0.087000
6409.708749,0.088000
6409.780407,0.088000
6409.850618,0.087000
6409.919324,0.087000
6409.986719,0.086000
6410.055212,0.086000
6410.127869,0.085000
6410.195530,0.085000
6410.264281,0.084000
6410.331923,0.083000
6410.398093,0.083000
6410.467134,0.082000
6410.535151,0.082000
6410.602766,0.082000
6410.670886,0.081000
6410.742590,0.081000
6410.808136,0.080000
6410.875710,0.080000
6410.942134,0.080000
6411.012572,0.079000
6411.079822,0.069000
6411.147224,0.096000
6411.213653,0.090000
6411.283223,0.129000
6411.352507,0.133000
6411.420323,0.121000
6411.488119,0.119000
6411.555100,0.149000
6411.622859,0.179000
6411.691515,0.213000
6411.758662,0.221000
6411.830369,0.271000
6411.899343,0.283000
6411.967545,0.309000
6412.034211,0.352000
6412.101808,0.357000
6412.170600,0.378000
6412.237023,0.399000
6412.306721,0.409000
6412.372220,0.446000
6412.439392,0.422000
6412.506978,0.419000
6412.575990,0.416000
6412.643266,0.420000
6412.710397,0.414000
6412.777951,0.411000
6412.848942,0.408000
6412.919830,0.406000
6412.987495,0.403000
6413.055079,0.401000
6413.122301,0.399000
6413.190193,0.396000
6413.259858,0.394000
6413.326443,0.393000
6413.393579,0.388000
6413.460816,0.387000
6413.528323,0.386000
6413.600437,0.384000
6413.673436,0.382000
6413.742055,0.381000
6413.813083,0.379000
6413.880370,0.376000
6413.951257,0.375000
6414.022815,0.373000
6414.089906,0.374000
6414.162841,0.391000
6414.233281,0.395000
6414.300600,0.380000
6414.370674,0.405000
6414.437685,0.423000
6414.507101,0.430000
6414.575532,0.446000
6414.643193,0.485000
6414.711907,0.517000
6414.784800,0.548000
6414.852742,0.587000
6414.919301,0.605000
6414.987678,0.661000
6415.060170,0.681000
6415.126442,0.704000
6415.194282,0.710000
6415.262206,0.750000
6415.329476,0.758000
6415.401834,0.749000
6415.468579,0.773000
6415.534540,0.772000
6415.608035,0.759000
6415.675360,0.770000
6415.744243,0.765000
6415.812385,0.760000
6415.880463,0.757000
6415.951069,0.753000
6416.017775,0.750000
6416.086690,0.747000
6416.154588,0.744000
6416.226979,0.742000
6416.296700,0.737000
6416.364585,0.735000
6416.433403,0.732000
6416.508400,0.730000
6416.576438,0.726000
6416.643068,0.723000
6416.709750,0.721000
6416.777262,0.719000
6416.847269,0.716000
6416.915122,0.713000
6416.985940,0.712000
6417.054971,0.711000
6417.121408,0.709000
6417.187684,0.707000
6417.254989,0.704000
6417.323106,0.703000
6417.390951,0.701000
6417.459439,0.695000
6417.525509,0.704000
6417.591556,0.715000
6417.659100,0.748000
6417.725090,0.749000
6417.792018,0.765000
6417.858510,0.770000
6417.925854,0.811000
6417.993644,0.844000
6418.061952,0.885000
6418.130843,0.910000
6418.198155,0.984000
6418.265672,1.016000
6418.332933,1.068000
6418.403328,1.087000
6418.471966,1.123000
6418.538996,1.156000
6418.607123,1.187000
6418.674864,1.206000
6418.748422,1.249000
6418.822566,1.212000
6418.889942,1.247000
6418.962736,1.236000
6419.030321,1.219000
6419.097762,1.217000
6419.164609,1.211000
6419.232384,1.207000
6419.304075,1.203000
6419.375958,1.200000
6419.443454,1.194000
6419.510679,1.191000
6419.580175,1.188000
6419.648399,1.184000
6419.716430,1.180000
6419.784693,1.177000
6419.852761,1.175000
6419.921947,1.172000
6419.991285,1.183000
6420.060748,1.148000
6420.128756,1.202000
6420.196123,1.241000
6420.264039,1.231000
6420.330663,1.248000
6420.399281,1.275000
6420.468488,1.312000
6420.543929,1.357000
6420.612619,1.425000
6420.683609,1.462000
6420.749412,1.537000
6420.820764,1.616000
6420.886577,1.607000
6420.954769,1.700000
6421.021480,1.703000
6421.091447,1.747000
6421.159628,1.770000
6421.226500,1.801000
6421.293473,1.830000
6421.361220,1.831000
6421.432596,1.790000
